DATE;OPEN;HIGH;LOW;CLOSE;VOLUME;P_VC;VOLUMERMB;REAL PRICE;MA5;C_MA5;MA7;MA10;C_MA10;MA20;MA50;MA60;MA65;RAVI;DIFFMA;NC2;P_NC2;NC3;P_NC3;NC5;P_NC5;NC10;P_NC10;EPS;PE;SSEC;DIFFSSEC;P_DIFFSSEC;P_SSEC;ADX;BB;HH2;HH3;HH5;K;D;RSI6;RSI12;RSI24;DIFF;DEA;EMA9;EMA12;EMA26;MACD;LL2;LL3;L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L15;L20;L25;L30;L40;L50;;;;;;;;;;;;;
1/8/2005;0.12;0.14;0.06;0.07;399230.22;3.9923022;3356157;8.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/8/2005;0.06;0.09;0.06;0.09;298303.09;2.9830309;2364038;8.21;;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3/8/2005;0.09;0.12;0.09;0.09;359016.91;3.5901691;3780399;8.22;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4/8/2005;0.09;0.11;0.07;0.09;173056.81;1.7305681;1542574;8.19;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5/8/2005;0.08;0.15;0.08;0.14;485082.88;4.8508288;6583033;8.42;0.096;;;;;;;;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/8/2005;0.15;0.19;0.15;0.16;378709.72;3.7870972;6422478;8.47;0.114;;;;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9/8/2005;0.15;0.17;0.13;0.16;277242.78;2.7724278;4136276;8.5;0.128;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/8/2005;0.16;0.22;0.15;0.2;368369.5;3.683695;7252329;8.65;0.15;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/8/2005;0.2;0.25;0.19;0.23;514248.22;5.1424822;11733509;8.76;0.178;;;;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/8/2005;0.23;0.25;0.16;0.17;421510.09;4.2151009;8455629;8.51;0.184;;;0.14;;;;;;;;-0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/8/2005;0.17;0.2;0.16;0.2;313789.44;3.1378944;5560467;8.65;0.192;;;0.153;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/8/2005;0.21;0.25;0.15;0.16;575134;5.75134;11368128;8.49;0.192;;;0.16;;;;;;;;-0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/8/2005;0.15;0.19;0.13;0.18;418215.28;4.1821528;6271103;8.55;0.188;;;0.169;;;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/8/2005;0.18;0.18;0.08;0.1;482119.97;4.8211997;6619383;8.23;0.162;;;0.17;;;;;;;;-0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/8/2005;0.09;0.14;0.09;0.13;298642.97;2.9864297;3651351;8.38;0.154;;;0.169;;;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/8/2005;0.13;0.14;0.1;0.13;179954.3;1.799543;2290221;8.38;0.14;;;0.166;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/8/2005;0.14;0.14;0.1;0.11;188355.22;1.8835522;2168878;8.3;0.13;;;0.161;;;;;;;;-0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/8/2005;0.13;0.17;0.12;0.16;560071.5;5.600715;8558536;8.47;0.126;;;0.157;;;;;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/8/2005;0.15;0.18;0.14;0.17;192249.8;1.922498;3114724;8.52;0.14;;;0.151;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/8/2005;0.18;0.21;0.16;0.17;169594.08;1.6959408;2880996;8.51;0.148;;;0.151;;0.1455;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/8/2005;0.17;0.19;0.15;0.15;201898.28;2.0189828;3405598;8.45;0.152;;;0.146;;0.1495;;;;;;-0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/8/2005;0.15;0.17;0.14;0.15;99127.8;0.991278;1516163;8.46;0.16;;;0.145;;0.1525;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/8/2005;0.14;0.17;0.14;0.16;177599.16;1.7759916;2717322;8.48;0.16;;;0.143;;0.156;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/9/2005;0.16;0.21;0.14;0.19;377830.03;3.7783003;6561081;8.62;0.164;;;0.152;;0.161;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/9/2005;0.19;0.2;0.18;0.2;214813.56;2.1481356;4055494;8.63;0.17;;;0.159;;0.164;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5/9/2005;0.2;0.2;0.17;0.18;150313.11;1.5031311;2847109;8.56;0.176;;;0.164;;0.165;;;;;;-0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6/9/2005;0.17;0.18;0.13;0.14;233590.7;2.335907;3609237;8.4;0.174;;;0.167;;0.164;;;;;;-0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7/9/2005;0.14;0.16;0.12;0.15;220491.48;2.2049148;3021431;8.44;0.172;;;0.166;;0.1615;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/9/2005;0.15;0.18;0.14;0.17;257446;2.57446;4055596;8.54;0.168;;;0.166;;0.1585;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9/9/2005;0.17;0.18;0.15;0.16;177723.11;1.7772311;3085001;8.48;0.16;;;0.165;;0.158;;;;;;-0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/9/2005;0.16;0.21;0.16;0.19;267214.44;2.6721444;5135934;8.61;0.162;;;0.169;;0.1575;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/9/2005;0.19;0.2;0.17;0.2;139361.11;1.3936111;2614998;8.64;0.174;;;0.174;;0.1595;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/9/2005;0.2;0.28;0.19;0.25;444409.72;4.4440972;11047500;8.85;0.194;;;0.183;;0.163;;;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/9/2005;0.25;0.26;0.24;0.25;139329.13;1.3932913;3428274;8.86;0.21;;;0.189;;0.1705;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/9/2005;0.25;0.29;0.25;0.26;249648.84;2.4964884;6855474;8.9;0.23;;;0.195;;0.177;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/9/2005;0.26;0.28;0.24;0.25;156242.95;1.5624295;4064616;8.85;0.242;;;0.202;;0.183;;;;;;-0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/9/2005;0.25;0.26;0.21;0.22;170313.81;1.7031381;3697777;8.71;0.246;;;0.21;;0.1885;;;;;;-0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/9/2005;0.2;0.23;0.16;0.16;199607.11;1.9960711;3692148;8.49;0.228;;;0.211;;0.1885;;;;;;-0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/9/2005;0.16;0.17;0.07;0.11;284875.97;2.8487597;3113570;8.27;0.2;;;0.205;;0.1855;;;;;;-0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/9/2005;0.09;0.12;0.07;0.08;139321.13;1.3932113;1264843;8.17;0.164;;;0.197;;0.181;;;;;;-0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/9/2005;0.09;0.12;0.08;0.09;91442.61;0.9144261;847073;8.21;0.132;;;0.187;;0.178;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/9/2005;0.09;0.12;0.03;0.05;160585.36;1.6058536;1047594;8.06;0.098;;;0.172;;0.173;;;;;;-0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/9/2005;0.07;0.11;0.07;0.08;105093.63;1.0509363;910611;8.18;0.082;;;0.155;;0.169;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/9/2005;0.08;0.12;0.08;0.11;111867.16;1.1186716;1135578;8.3;0.082;;;0.141;;0.165;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10/10/2005;0.1;0.14;0.09;0.14;109983.84;1.0998384;1375103;8.39;0.094;;;0.129;;0.162;;;;;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/10/2005;0.13;0.16;0.12;0.16;125882.04;1.2588204;1806722;8.47;0.108;;;0.12;;0.161;;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/10/2005;0.16;0.17;0.13;0.16;211250.86;2.1125086;3236531;8.5;0.13;;;0.114;;0.162;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13/10/2005;0.16;0.19;0.16;0.16;234330.44;2.3433044;3997094;8.5;0.146;;;0.114;;0.1625;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14/10/2005;0.16;0.17;0.1;0.1;142763.88;1.4276388;1816342;8.23;0.144;;;0.113;;0.159;;;;;;-0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/10/2005;0.1;0.12;0.08;0.11;99667.61;0.9966761;997248;8.3;0.138;;;0.116;;0.1565;0.1538;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/10/2005;0.11;0.13;0.07;0.08;137141.92;1.3714192;1348424;8.15;0.122;;;0.115;;0.151;0.154;;;;;-0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/10/2005;0.08;0.16;0.08;0.14;262388.19;2.6238819;3466891;8.4;0.118;;;0.124;;0.148;0.155;;;;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20/10/2005;0.14;0.24;0.13;0.23;487494;4.87494;9783946;8.78;0.132;;;0.139;;0.147;0.1578;;;;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21/10/2005;0.23;0.27;0.21;0.22;414116.78;4.1411678;10261269;8.72;0.156;;;0.15;;0.1455;0.1604;;;;;-0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/10/2005;0.21;0.22;0.18;0.22;131939.83;1.3193983;2693125;8.73;0.178;;;0.158;;0.1435;0.162;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25/10/2005;0.22;0.23;0.18;0.19;122935.11;1.2293511;2389939;8.61;0.2;;;0.161;;0.1405;0.1626;;;;;-0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/10/2005;0.19;0.19;0.11;0.12;280449.59;2.8044959;3898068;8.33;0.196;;;0.157;;0.1355;0.1618;;;;;-0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27/10/2005;0.12;0.15;0.1;0.11;185148.39;1.8514839;2167089;8.3;0.172;;;0.152;;0.133;0.16;;;;;-0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28/10/2005;0.11;0.14;0.06;0.11;237901.14;2.3790114;2287488;8.3;0.15;;;0.153;;0.133;0.1576;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/10/2005;0.12;0.2;0.11;0.17;275867.28;2.7586728;4723162;8.52;0.14;;;0.159;;0.1375;0.1576;;;;;0.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/11/2005;0.16;0.19;0.16;0.19;187979.36;1.8797936;3443625;8.6;0.14;;;0.17;;0.1425;0.1574;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/11/2005;0.21;0.21;0.16;0.17;144815.13;1.4481513;2613867;8.54;0.15;;;0.173;;0.1485;0.1576;;;;;-0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3/11/2005;0.17;0.18;0.06;0.09;490300.97;4.9030097;4808192;8.2;0.146;;;0.159;;0.149;0.1558;;;;;-0.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4/11/2005;0.09;0.12;0.08;0.11;205640.91;2.0564091;2118259;8.3;0.146;;;0.148;;0.149;0.156;;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7/11/2005;0.11;0.11;0.07;0.08;181693.66;1.8169366;1421941;8.16;0.128;;;0.134;;0.146;0.155;;;;;-0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
